                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4884,                 5.0544,                 1.3926,                      0,                      0,                      0,                      0,                 1.7103,                 4.8967,                 1.4545,               0.070625,              0.0032639,              0.0032639
                      1,                 1.6328,                 3.7462,                 1.3948,                 0.0083,                0.00444,                0.00538,                0.00257,                 2.0553,                 4.5725,                 1.8242,               0.040618,              0.0065907,              0.0065907
                      2,                 1.6747,                 2.7501,                 1.4398,                0.00522,                0.01799,                0.00632,                0.00427,                 2.4803,                 4.4127,                 2.3165,               0.010605,              0.0099109,              0.0099109
                      3,                 1.7232,                 2.4941,                 1.4986,                0.00205,                0.02921,                0.00245,                0.00099,                 2.3813,                 4.4685,                  2.098,              0.0099703,              0.0099703,              0.0099703
                      4,                 1.7718,                 2.4336,                 1.5333,                0.46494,                0.03007,                0.00438,                0.00209,                 2.6991,                 10.042,                 2.2416,              0.0099703,              0.0099703,              0.0099703
                      5,                  1.749,                 2.4348,                 1.5276,                0.50804,                0.02682,                0.01009,                0.00602,                 2.4707,                 5.4612,                 2.3315,              0.0099604,              0.0099604,              0.0099604
                      6,                 1.7765,                 2.3864,                 1.5414,                0.53772,                0.03163,                0.01023,                0.00592,                 2.4551,                 5.2517,                 2.0416,              0.0099505,              0.0099505,              0.0099505
                      7,                 1.7312,                  2.345,                 1.5218,                0.54208,                 0.0269,                0.01747,                0.00974,                 2.3618,                 3.7039,                 2.1231,              0.0099406,              0.0099406,              0.0099406
                      8,                 1.7016,                 2.2658,                 1.4958,                 0.5306,                0.04286,                0.01594,                 0.0073,                 2.1972,                 5.4731,                 1.8932,              0.0099307,              0.0099307,              0.0099307
                      9,                 1.7389,                 2.2115,                 1.5206,                0.55512,                0.03543,                0.01986,                0.01053,                  2.381,                 3.6313,                 2.0725,              0.0099208,              0.0099208,              0.0099208
                     10,                  1.721,                 2.1609,                 1.5112,                0.44208,                0.06459,                0.02537,                0.01479,                 2.2033,                 3.6433,                 1.8422,              0.0099109,              0.0099109,              0.0099109
                     11,                 1.6822,                 2.1007,                 1.4857,                 0.5024,                0.04368,                0.01787,                0.00965,                 2.2754,                 6.0884,                 1.9488,               0.009901,               0.009901,               0.009901
                     12,                 1.6734,                 2.0891,                 1.4865,                 0.5649,                 0.0377,                0.02601,                0.01357,                 2.2643,                 3.4269,                 2.0879,              0.0098911,              0.0098911,              0.0098911
                     13,                 1.6611,                 2.0556,                 1.4833,                0.56466,                0.04318,                 0.0294,                0.01766,                 2.2696,                 3.2492,                 1.9391,              0.0098812,              0.0098812,              0.0098812
                     14,                 1.6474,                 1.9592,                 1.4592,                0.56252,                0.05249,                0.03571,                0.02265,                 2.2563,                 3.4578,                 1.9627,              0.0098713,              0.0098713,              0.0098713
                     15,                 1.6565,                 1.9666,                 1.4614,                0.50206,                0.06464,                 0.0288,                0.01607,                 2.1398,                 3.4433,                 1.8092,              0.0098614,              0.0098614,              0.0098614
                     16,                 1.6373,                 1.9509,                 1.4565,                0.56856,                 0.0622,                0.04767,                0.03036,                  2.152,                  3.004,                 1.8507,              0.0098515,              0.0098515,              0.0098515
                     17,                 1.5988,                 1.9857,                  1.452,                 0.6061,                0.06283,                0.05925,                0.03413,                 2.1235,                 2.8754,                 1.8287,              0.0098416,              0.0098416,              0.0098416
                     18,                  1.609,                  1.906,                  1.471,                0.65984,                0.04904,                0.06617,                 0.0441,                 2.2547,                 3.0931,                 1.9373,              0.0098317,              0.0098317,              0.0098317
                     19,                  1.639,                 1.8824,                  1.462,                0.75419,                0.04236,                0.06078,                0.04023,                 2.0884,                  3.013,                 1.8691,              0.0098218,              0.0098218,              0.0098218
                     20,                 1.6246,                 1.8813,                 1.4455,                0.51434,                0.06776,                0.05321,                0.03254,                 2.0327,                 3.0173,                 1.8503,              0.0098119,              0.0098119,              0.0098119
                     21,                 1.6158,                 1.8924,                 1.4558,                0.62725,                0.03992,                0.05127,                0.03377,                 2.3061,                 3.1244,                 2.0156,               0.009802,               0.009802,               0.009802
                     22,                 1.6078,                 1.8849,                 1.4548,                0.52833,                0.10408,                0.08266,                0.05461,                 2.0817,                 3.0296,                 1.8631,              0.0097921,              0.0097921,              0.0097921
                     23,                 1.5988,                 1.8046,                 1.4342,                0.36721,                0.08234,                 0.0627,                0.03737,                 2.0917,                 2.7287,                 1.7623,              0.0097822,              0.0097822,              0.0097822
                     24,                 1.5929,                 1.8104,                 1.4461,                0.60291,                 0.0657,                0.05898,                 0.0356,                  2.168,                  3.591,                 2.0821,              0.0097723,              0.0097723,              0.0097723
                     25,                 1.5955,                 1.8044,                 1.4427,                0.53966,                0.09031,                 0.0709,                0.04504,                 2.2571,                 3.0333,                 1.9294,              0.0097624,              0.0097624,              0.0097624
                     26,                 1.5556,                 1.8217,                 1.4255,                0.63892,                0.07932,                0.07825,                0.04955,                 1.9825,                 2.7323,                 1.7333,              0.0097525,              0.0097525,              0.0097525
                     27,                 1.5629,                  1.813,                  1.422,                0.41045,                0.10459,                0.07312,                0.04459,                 2.1242,                 3.0221,                 1.8482,              0.0097426,              0.0097426,              0.0097426
                     28,                 1.5601,                 1.7752,                 1.4182,                0.44055,                0.07553,                0.06213,                0.04092,                 2.0703,                 2.9587,                 1.7618,              0.0097327,              0.0097327,              0.0097327
                     29,                 1.5567,                 1.7678,                   1.42,                0.60343,                0.08088,                0.06771,                0.04246,                 2.1183,                 3.1589,                 1.7561,              0.0097228,              0.0097228,              0.0097228
                     30,                  1.531,                 1.6976,                 1.4073,                0.47445,                0.12052,                0.09386,                0.05887,                 1.8932,                 2.5213,                 1.6891,              0.0097129,              0.0097129,              0.0097129
                     31,                  1.541,                   1.76,                 1.3985,                0.47295,                0.10901,                0.09574,                0.06204,                 1.9541,                  2.564,                 1.6278,               0.009703,               0.009703,               0.009703
                     32,                 1.5725,                 1.7202,                 1.4162,                0.55704,                0.11276,                0.10793,                0.06982,                 1.9601,                 2.6898,                 1.7272,              0.0096931,              0.0096931,              0.0096931
                     33,                  1.557,                 1.7473,                 1.4122,                 0.5194,                0.16007,                0.11983,                0.06935,                 2.0044,                 2.6847,                 1.7813,              0.0096832,              0.0096832,              0.0096832
                     34,                 1.5082,                 1.7248,                 1.3967,                0.51222,                0.12617,                0.11092,                0.07079,                 2.1864,                 2.7819,                 2.0269,              0.0096733,              0.0096733,              0.0096733
                     35,                 1.5384,                 1.7071,                  1.398,                0.37848,                0.10701,                0.08233,                0.05061,                 2.2372,                 2.9762,                 2.0682,              0.0096634,              0.0096634,              0.0096634
                     36,                 1.5119,                 1.7123,                 1.3936,                0.48476,                0.17743,                0.15729,                0.10749,                  2.022,                  2.846,                 1.7831,              0.0096535,              0.0096535,              0.0096535
                     37,                  1.523,                 1.7274,                  1.399,                0.49521,                0.14545,                0.14982,                0.09138,                 1.9131,                 2.3361,                 1.7308,              0.0096436,              0.0096436,              0.0096436
                     38,                 1.4956,                 1.6301,                  1.371,                0.46292,                0.15334,                0.13376,                 0.0839,                 1.8993,                 2.3396,                 1.6947,              0.0096337,              0.0096337,              0.0096337
                     39,                  1.507,                  1.665,                 1.3716,                0.45282,                0.14949,                0.14556,                0.08784,                 1.9772,                 2.4485,                 1.7839,              0.0096238,              0.0096238,              0.0096238
                     40,                 1.4744,                 1.6054,                 1.3506,                0.45754,                0.20034,                0.17496,                0.11496,                 1.9432,                 2.6626,                 1.8001,              0.0096139,              0.0096139,              0.0096139
                     41,                 1.5206,                 1.6442,                 1.3809,                0.56883,                0.14926,                0.18024,                0.10749,                 1.8915,                 2.4364,                 1.6553,               0.009604,               0.009604,               0.009604
                     42,                 1.4854,                 1.6474,                 1.3842,                0.53267,                0.18763,                0.18339,                0.12123,                 1.8305,                 2.2775,                 1.6866,              0.0095941,              0.0095941,              0.0095941
                     43,                  1.493,                 1.5989,                 1.3645,                0.57231,                0.17922,                0.19651,                0.11518,                 1.8701,                 2.5398,                 1.7431,              0.0095842,              0.0095842,              0.0095842
                     44,                 1.4609,                 1.5769,                 1.3516,                 0.5375,                0.19399,                0.20754,                0.13294,                 1.9678,                 2.6236,                 1.8064,              0.0095743,              0.0095743,              0.0095743
                     45,                 1.4834,                 1.6025,                 1.3623,                0.48052,                0.19602,                0.20821,                0.13564,                 1.7995,                 2.1385,                 1.6336,              0.0095644,              0.0095644,              0.0095644
                     46,                 1.4861,                 1.5755,                 1.3577,                0.55467,                0.19479,                0.21611,                0.13436,                 1.7898,                 2.2789,                 1.6377,              0.0095545,              0.0095545,              0.0095545
                     47,                 1.4974,                 1.5363,                 1.3638,                0.46489,                0.22174,                0.18692,                0.12063,                 1.9407,                 2.6488,                 1.7398,              0.0095446,              0.0095446,              0.0095446
                     48,                 1.4919,                 1.5816,                 1.3751,                0.59624,                 0.1991,                 0.2051,                0.13286,                 1.9134,                 2.5364,                 1.7692,              0.0095347,              0.0095347,              0.0095347
                     49,                 1.4876,                 1.5802,                 1.3591,                0.53235,                0.22172,                0.22928,                0.14398,                 1.9096,                 3.0383,                 1.7875,              0.0095248,              0.0095248,              0.0095248
                     50,                 1.4455,                 1.5118,                 1.3387,                 0.4759,                0.20845,                0.20562,                 0.1247,                 1.8392,                 2.5898,                 1.7083,              0.0095149,              0.0095149,              0.0095149
                     51,                 1.4432,                 1.4887,                 1.3375,                 0.4846,                0.22589,                0.22947,                0.14752,                 1.8444,                 2.3733,                 1.6483,               0.009505,               0.009505,               0.009505
                     52,                 1.4526,                 1.4977,                 1.3432,                0.35437,                0.25087,                0.23471,                0.15059,                 1.8565,                 2.2392,                 1.6947,              0.0094951,              0.0094951,              0.0094951
                     53,                 1.4511,                 1.4712,                 1.3332,                0.42333,                0.27935,                0.22339,                0.14642,                 1.7881,                 2.5522,                 1.6711,              0.0094852,              0.0094852,              0.0094852
                     54,                 1.4507,                 1.4641,                 1.3425,                0.56566,                 0.2202,                0.24738,                0.16104,                 1.8069,                 2.4736,                 1.6781,              0.0094753,              0.0094753,              0.0094753
                     55,                 1.4644,                 1.4605,                  1.333,                0.41753,                0.26498,                  0.228,                0.14543,                 1.8645,                 2.1657,                 1.6307,              0.0094654,              0.0094654,              0.0094654
                     56,                 1.4247,                 1.4745,                 1.3374,                0.40753,                0.25049,                0.23926,                0.16055,                 1.8078,                 2.0532,                 1.5938,              0.0094555,              0.0094555,              0.0094555
                     57,                  1.414,                 1.4785,                 1.3314,                0.47632,                0.23915,                0.21093,                0.13037,                 1.9163,                 2.3823,                 1.7368,              0.0094456,              0.0094456,              0.0094456
                     58,                 1.3986,                 1.4404,                 1.3209,                0.52809,                0.27266,                0.26374,                0.15777,                 1.8107,                 2.2047,                 1.6175,              0.0094357,              0.0094357,              0.0094357
                     59,                 1.4326,                   1.47,                 1.3484,                0.48296,                0.27725,                0.25458,                0.16169,                 1.8063,                 2.1794,                 1.6094,              0.0094258,              0.0094258,              0.0094258
                     60,                 1.4563,                 1.4682,                 1.3445,                0.49802,                0.25512,                0.25015,                0.16348,                 1.7909,                 2.0623,                  1.603,              0.0094159,              0.0094159,              0.0094159
                     61,                 1.4385,                  1.436,                 1.3365,                0.51102,                  0.236,                0.24756,                0.15528,                 1.7889,                 2.2468,                 1.6125,               0.009406,               0.009406,               0.009406
                     62,                 1.4036,                 1.4027,                 1.3039,                0.50291,                0.25352,                0.24977,                0.15639,                 1.7624,                 2.3144,                 1.6057,              0.0093961,              0.0093961,              0.0093961
                     63,                 1.4176,                 1.3845,                 1.3175,                0.51771,                0.23877,                0.24787,                 0.1604,                 1.8573,                 2.6337,                 1.7493,              0.0093862,              0.0093862,              0.0093862
                     64,                 1.4174,                 1.4034,                 1.3269,                0.49305,                0.24724,                0.25351,                0.16738,                 1.7318,                 2.2727,                 1.6425,              0.0093763,              0.0093763,              0.0093763
                     65,                  1.385,                    1.4,                 1.3162,                0.48103,                0.24588,                0.27131,                0.18133,                 1.7183,                 2.0616,                 1.6097,              0.0093664,              0.0093664,              0.0093664
                     66,                  1.388,                 1.4099,                  1.314,                0.49584,                0.29154,                0.30768,                0.18697,                 1.7955,                 1.9361,                 1.6253,              0.0093565,              0.0093565,              0.0093565
                     67,                 1.4118,                 1.4013,                 1.3201,                 0.5785,                0.26563,                0.32004,                0.21449,                 1.7651,                 2.1455,                 1.6058,              0.0093466,              0.0093466,              0.0093466
                     68,                 1.3737,                 1.4075,                 1.3172,                0.60738,                0.25634,                0.32332,                0.22023,                 1.7617,                 2.2596,                 1.6356,              0.0093367,              0.0093367,              0.0093367
                     69,                 1.3844,                 1.3393,                 1.3104,                0.68236,                0.25961,                0.32668,                0.21786,                 1.7209,                 1.9535,                 1.6159,              0.0093268,              0.0093268,              0.0093268
                     70,                 1.3867,                 1.3462,                 1.2973,                0.48853,                0.31174,                 0.3036,                0.20212,                 1.6793,                 1.9843,                 1.5685,              0.0093169,              0.0093169,              0.0093169
