                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.0613,                 2.9013,                 3.7638,                0.51329,                0.32716,                0.26628,                0.09722,                 2.5496,                 3.3278,                 3.3876,               0.070075,               0.003325,               0.003325
                      1,                 2.1299,                 2.1246,                 2.7541,                0.63588,                0.44321,                0.42312,                0.17084,                 2.0853,                 2.4421,                 2.5913,               0.040068,              0.0066518,              0.0066518
                      2,                 1.5571,                 1.7957,                 2.1544,                0.59923,                0.44118,                0.41073,                0.18096,                 1.8788,                 2.3197,                 2.3885,               0.010055,              0.0099719,              0.0099719
                      3,                 1.3667,                 1.6587,                 1.9541,                 0.6399,                0.50898,                0.53098,                0.24971,                 1.7128,                 1.9052,                 2.1457,              0.0099703,              0.0099703,              0.0099703
                      4,                 1.2782,                 1.5738,                 1.8533,                0.61971,                0.48148,                0.50768,                 0.2328,                   1.72,                 1.9048,                 2.0633,              0.0099703,              0.0099703,              0.0099703
                      5,                 1.2118,                 1.4851,                 1.7928,                0.63739,                0.51481,                0.56489,                0.26145,                 1.6485,                 1.8185,                 2.0447,              0.0099604,              0.0099604,              0.0099604
                      6,                 1.1884,                 1.4539,                 1.7708,                0.62827,                0.52963,                0.55661,                0.26733,                 1.6456,                 1.7952,                 2.0461,              0.0099505,              0.0099505,              0.0099505
                      7,                 1.1537,                  1.411,                 1.7362,                0.67489,                0.50988,                0.57669,                0.26989,                 1.7097,                 1.7468,                 2.0742,              0.0099406,              0.0099406,              0.0099406
                      8,                 1.1193,                 1.3694,                   1.71,                0.57394,                 0.5139,                0.54783,                0.26435,                 1.6313,                 1.8457,                  1.999,              0.0099307,              0.0099307,              0.0099307
                      9,                 1.1144,                 1.3487,                 1.7002,                 0.6218,                 0.5679,                0.59697,                0.28806,                  1.627,                 1.6543,                 1.9496,              0.0099208,              0.0099208,              0.0099208
                     10,                 1.0867,                 1.3233,                 1.6762,                0.67069,                0.57077,                0.64389,                0.31916,                 1.6414,                  1.589,                 1.9676,              0.0099109,              0.0099109,              0.0099109
                     11,                 1.0865,                 1.3139,                 1.6791,                0.65696,                0.58637,                0.63621,                0.31412,                  1.675,                 1.4934,                 1.9936,               0.009901,               0.009901,               0.009901
                     12,                 1.0624,                 1.2665,                 1.6615,                0.71953,                0.60176,                0.68788,                0.34186,                 1.5944,                 1.4792,                 1.9343,              0.0098911,              0.0098911,              0.0098911
                     13,                 1.0545,                 1.2646,                 1.6569,                0.66518,                0.62716,                0.66769,                0.32835,                 1.6019,                 1.5021,                 1.8881,              0.0098812,              0.0098812,              0.0098812
                     14,                 1.0525,                 1.2525,                 1.6514,                0.74173,                0.60741,                0.69701,                0.35941,                  1.572,                 1.4218,                 1.8654,              0.0098713,              0.0098713,              0.0098713
                     15,                 1.0452,                 1.2565,                 1.6454,                0.71528,                0.61975,                0.68959,                0.36067,                 1.5754,                 1.4409,                 1.8626,              0.0098614,              0.0098614,              0.0098614
                     16,                 1.0219,                 1.2203,                 1.6233,                0.69746,                0.62099,                0.68265,                0.36139,                 1.5157,                 1.4244,                 1.8434,              0.0098515,              0.0098515,              0.0098515
                     17,                  1.033,                 1.2236,                 1.6299,                0.74188,                0.61481,                0.70338,                0.36208,                  1.608,                 1.3124,                 1.9113,              0.0098416,              0.0098416,              0.0098416
                     18,                 1.0204,                 1.2328,                  1.624,                0.68265,                0.64266,                0.70062,                0.36099,                 1.5398,                 1.4284,                 1.8685,              0.0098317,              0.0098317,              0.0098317
                     19,                 1.0087,                 1.2032,                 1.6079,                0.71353,                0.66049,                0.72085,                 0.3834,                 1.4943,                 1.4045,                 1.8111,              0.0098218,              0.0098218,              0.0098218
                     20,                0.99832,                 1.1821,                 1.6015,                0.73704,                0.62631,                 0.7281,                0.38081,                 1.5662,                 1.3269,                 1.8647,              0.0098119,              0.0098119,              0.0098119
                     21,                0.98597,                 1.1672,                 1.5872,                0.75225,                0.62346,                 0.7245,                0.39756,                 1.4746,                 1.3297,                 1.7784,               0.009802,               0.009802,               0.009802
                     22,                0.98611,                  1.162,                 1.5869,                0.73787,                0.63249,                0.72354,                0.38626,                 1.5117,                 1.3331,                 1.8104,              0.0097921,              0.0097921,              0.0097921
                     23,                0.98121,                 1.1508,                 1.5844,                0.68883,                0.65309,                0.71414,                0.40381,                 1.4081,                 1.3741,                 1.7236,              0.0097822,              0.0097822,              0.0097822
                     24,                0.97505,                  1.154,                 1.5799,                0.72688,                0.65185,                0.72254,                0.39613,                 1.4575,                 1.3435,                 1.7623,              0.0097723,              0.0097723,              0.0097723
