                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 4.0138,                 3.8249,                 3.7872,                0.00167,                0.14852,                0.00119,                0.00034,                 3.8712,                 4.5332,                 3.8958,               0.070125,              0.0033194,              0.0033194
                      1,                 3.5548,                  3.543,                 3.2544,                0.01111,                0.13404,                0.00645,                0.00174,                 3.1145,                 3.8079,                 3.1964,               0.040118,              0.0066462,              0.0066462
                      2,                 2.7855,                 3.2931,                 2.6733,                0.25486,                0.08398,                0.02035,                0.00584,                 2.7094,                  3.694,                 2.7524,               0.010105,              0.0099663,              0.0099663
                      3,                 2.4349,                  3.087,                 2.3842,                0.07131,                0.12247,                0.03254,                0.01029,                 2.5146,                 3.5865,                 2.5992,              0.0099703,              0.0099703,              0.0099703
                      4,                 2.2407,                 2.9371,                 2.2351,                0.11807,                0.07163,                0.04446,                0.01588,                 2.3574,                  3.189,                 2.4241,              0.0099703,              0.0099703,              0.0099703
                      5,                 2.1063,                 2.8332,                 2.1198,                0.10587,                0.09685,                 0.0472,                0.01738,                  2.236,                 3.0398,                   2.31,              0.0099604,              0.0099604,              0.0099604
                      6,                 1.9885,                 2.7512,                 2.0287,                0.16234,                0.16539,                  0.073,                0.03218,                   2.02,                 2.8821,                 2.2039,              0.0099505,              0.0099505,              0.0099505
                      7,                 1.9305,                 2.6998,                 1.9741,                0.13502,                0.15576,                0.07293,                0.02979,                 2.0867,                 2.8593,                 2.2101,              0.0099406,              0.0099406,              0.0099406
                      8,                  1.876,                 2.6501,                 1.9395,                0.15216,                0.18701,                0.06934,                0.02999,                 2.0404,                 2.9371,                 2.2284,              0.0099307,              0.0099307,              0.0099307
                      9,                 1.8307,                 2.6289,                 1.9088,                0.15853,                0.17258,                0.08271,                0.03601,                 1.9534,                  2.741,                 2.1472,              0.0099208,              0.0099208,              0.0099208
                     10,                 1.8032,                 2.5878,                 1.8791,                0.13797,                0.19958,                0.08226,                0.03638,                 1.9006,                 2.7167,                 2.0879,              0.0099109,              0.0099109,              0.0099109
                     11,                 1.7689,                 2.5523,                 1.8493,                0.17321,                0.20093,                0.09415,                0.04241,                  1.935,                 2.7363,                  2.068,               0.009901,               0.009901,               0.009901
                     12,                 1.7473,                 2.5415,                 1.8314,                0.16216,                0.20296,                0.09766,                0.04447,                 1.8421,                 2.6059,                 2.0071,              0.0098911,              0.0098911,              0.0098911
                     13,                 1.7205,                 2.5097,                 1.8171,                0.17949,                0.23634,                0.11313,                 0.0524,                 1.8363,                 2.5376,                 1.9987,              0.0098812,              0.0098812,              0.0098812
                     14,                  1.717,                 2.4985,                 1.8177,                0.17882,                0.20481,                 0.1084,                0.05147,                 1.8494,                 2.5493,                 2.0469,              0.0098713,              0.0098713,              0.0098713
                     15,                 1.7048,                 2.4735,                  1.796,                0.19588,                0.23826,                0.11753,                0.05683,                 1.7965,                 2.5121,                  1.963,              0.0098614,              0.0098614,              0.0098614
                     16,                 1.6926,                 2.4508,                 1.7866,                0.17259,                0.26438,                0.11784,                0.05705,                 1.7366,                 2.4985,                 1.9478,              0.0098515,              0.0098515,              0.0098515
                     17,                 1.6894,                 2.4524,                 1.7904,                0.19625,                0.23326,                0.11997,                0.05578,                 1.8284,                 2.4983,                  1.968,              0.0098416,              0.0098416,              0.0098416
                     18,                 1.6589,                 2.4466,                 1.7657,                0.19379,                0.25622,                0.12831,                0.06124,                 1.7484,                 2.5126,                 1.9557,              0.0098317,              0.0098317,              0.0098317
                     19,                 1.6508,                 2.4054,                  1.767,                0.19196,                0.23725,                0.12761,                0.06343,                 1.7354,                 2.4494,                 1.9166,              0.0098218,              0.0098218,              0.0098218
                     20,                 1.6228,                 2.3769,                  1.735,                0.19835,                 0.2516,                0.13912,                0.06863,                  1.737,                 2.4031,                 1.8997,              0.0098119,              0.0098119,              0.0098119
                     21,                 1.6228,                 2.3735,                 1.7411,                 0.1787,                0.25051,                0.13374,                0.06743,                 1.6909,                 2.4238,                 1.8945,               0.009802,               0.009802,               0.009802
                     22,                 1.6015,                 2.3649,                 1.7347,                0.21012,                0.22997,                  0.143,                 0.0718,                 1.6965,                 2.4205,                 1.8839,              0.0097921,              0.0097921,              0.0097921
                     23,                 1.6126,                 2.3524,                 1.7409,                0.19311,                0.27393,                0.14027,                0.07051,                 1.7006,                 2.4154,                 1.8822,              0.0097822,              0.0097822,              0.0097822
                     24,                 1.5966,                 2.3287,                  1.714,                0.23876,                0.27813,                0.15472,                 0.0776,                 1.7338,                 2.3604,                 1.9063,              0.0097723,              0.0097723,              0.0097723
                     25,                 1.5901,                 2.3142,                 1.7122,                0.21625,                0.28486,                0.15449,                0.07731,                 1.6917,                 2.3454,                 1.8743,              0.0097624,              0.0097624,              0.0097624
                     26,                 1.5692,                 2.3091,                 1.7138,                0.24037,                0.22479,                0.14206,                0.06974,                 1.7538,                   2.51,                 1.9143,              0.0097525,              0.0097525,              0.0097525
                     27,                 1.5704,                 2.2762,                 1.7011,                0.23108,                 0.2635,                0.16429,                0.08306,                 1.6716,                 2.3568,                 1.8598,              0.0097426,              0.0097426,              0.0097426
                     28,                 1.5819,                  2.302,                 1.7119,                0.24047,                0.28227,                0.17073,                0.08653,                 1.7017,                 2.3276,                 1.8594,              0.0097327,              0.0097327,              0.0097327
                     29,                 1.5561,                 2.2471,                  1.688,                0.25302,                0.30198,                0.18777,                 0.0953,                 1.6582,                 2.2817,                 1.8521,              0.0097228,              0.0097228,              0.0097228
                     30,                 1.5405,                 2.2479,                 1.6791,                0.24602,                0.29828,                0.19197,                0.10021,                 1.6384,                 2.2454,                 1.8391,              0.0097129,              0.0097129,              0.0097129
                     31,                 1.5449,                 2.2532,                 1.6838,                0.26455,                0.28468,                0.18908,                0.09488,                 1.6955,                 2.3071,                 1.8419,               0.009703,               0.009703,               0.009703
                     32,                 1.5321,                 2.2296,                 1.6694,                0.23595,                0.27785,                0.17749,                0.09233,                 1.6378,                 2.2883,                 1.8377,              0.0096931,              0.0096931,              0.0096931
                     33,                 1.5393,                 2.2456,                 1.6808,                0.25199,                0.28924,                  0.194,                0.10129,                 1.6079,                 2.2451,                 1.8063,              0.0096832,              0.0096832,              0.0096832
                     34,                  1.542,                 2.2442,                 1.6698,                0.25518,                0.30202,                0.19444,                0.10402,                 1.6182,                 2.2084,                 1.8134,              0.0096733,              0.0096733,              0.0096733
                     35,                 1.4986,                 2.2289,                 1.6549,                0.28071,                0.28052,                 0.1975,                0.10445,                 1.6103,                 2.2231,                 1.7934,              0.0096634,              0.0096634,              0.0096634
                     36,                 1.5174,                 2.2129,                 1.6573,                0.27318,                0.28034,                0.19766,                0.10361,                 1.6478,                 2.2266,                  1.827,              0.0096535,              0.0096535,              0.0096535
                     37,                 1.5111,                 2.1996,                 1.6543,                0.25586,                 0.3138,                 0.2031,                0.10746,                 1.6245,                 2.2194,                 1.8005,              0.0096436,              0.0096436,              0.0096436
                     38,                 1.4979,                 2.1795,                 1.6463,                0.27731,                0.30768,                0.22115,                0.11953,                  1.594,                 2.1216,                 1.7795,              0.0096337,              0.0096337,              0.0096337
                     39,                  1.499,                 2.1866,                 1.6337,                0.28305,                0.30609,                0.22508,                0.12519,                 1.5966,                 2.1363,                 1.7991,              0.0096238,              0.0096238,              0.0096238
                     40,                 1.4922,                 2.1813,                 1.6397,                 0.2875,                0.32315,                0.22479,                0.12189,                 1.5844,                  2.127,                 1.7891,              0.0096139,              0.0096139,              0.0096139
                     41,                  1.497,                 2.1759,                 1.6411,                0.27593,                0.30772,                0.21475,                0.11444,                 1.6092,                 2.1822,                 1.7967,               0.009604,               0.009604,               0.009604
